Substation ID,Name,Region,Degree Centrality,Betweenness Centrality,Closeness Centrality,PageRank
16,Cape Coast Substation,Central,0.11627906976744186,0.5254706533776301,0.26414204902577,0.03800694140876495
12,Takoradi Substation,Western,0.09302325581395349,0.5160575858250277,0.2606201550387597,0.030412730798574067
7,Kumasi Central Substation,Ashanti,0.11627906976744186,0.5005537098560354,0.2443313953488372,0.0393616304916822
20,Koforidua Substation,Eastern,0.09302325581395349,0.4983388704318937,0.25385080036242824,0.031574277585548385
24,Ho Substation,Volta,0.09302325581395349,0.4363233665559247,0.23269656699889257,0.035573536857529224
28,Sunyani Substation,Bono,0.06976744186046512,0.3344407530454042,0.2057527539779682,0.03066612382000631
1,Achimota Substation,Greater Accra,0.09302325581395349,0.29383536360280543,0.21246208291203236,0.028714704133771744
31,Tamale Substation,Northern,0.06976744186046512,0.23809523809523808,0.17932579475144017,0.03323429636775252
34,Bolgatanga Substation,Upper East,0.09302325581395349,0.16943521594684385,0.15637209302325583,0.04695543286047507
2,Tema Substation,Greater Accra,0.09302325581395349,0.13879660391288295,0.18267767876548577,0.030149294547150637
11,Konongo Substation,Ashanti,0.09302325581395349,0.08637873754152824,0.20047704233750746,0.033297491167283554
39,Aflao Border Station,Togo border,0.046511627906976744,0.08637873754152824,0.15637209302325583,0.01996320244136092
3,Mallam Substation,Greater Accra,0.11627906976744186,0.054448135843484624,0.18182801514332073,0.034893161084669326
37,Bolgatanga Interconnection,Burkina Faso border,0.046511627906976744,0.04429678848283499,0.13573966408268734,0.025895601820117877
29,Techiman Substation,Bono,0.046511627906976744,0.04429678848283499,0.1714606283149735,0.023875109787359558
40,Lome Transmission Hub,Togo,0.046511627906976744,0.04429678848283499,0.13573966408268734,0.023552716412707873
38,Elubo Border Station,Cote d'Ivoire border,0.046511627906976744,0.04429678848283499,0.19743951139299978,0.02074637520522674
27,Sogakope Substation,Volta,0.06976744186046512,0.04429678848283499,0.19069767441860466,0.029493844338046915
22,Nkawkaw Substation,Eastern,0.06976744186046512,0.02159468438538206,0.2046755144283453,0.024720210599844902
21,Akosombo Substation,Eastern,0.06976744186046512,0.02159468438538206,0.2046755144283453,0.024720210599844902
14,Tarkwa Substation,Western,0.06976744186046512,0.02159468438538206,0.20905360029847034,0.02420132784050242
13,Aboadze Substation,Western,0.06976744186046512,0.02159468438538206,0.20905360029847034,0.02420132784050242
5,Kaneshie Substation,Greater Accra,0.06976744186046512,0.012550756736803238,0.1776955602536998,0.021665195730248853
4,Legon Substation,Greater Accra,0.09302325581395349,0.004245108896271686,0.15700009339684318,0.028637681574222022
18,Kasoa Substation,Central,0.06976744186046512,0.0005537098560354374,0.21017754438609654,0.024386333113945485
10,Mampong Substation,Ashanti,0.046511627906976744,0.0,0.19844174241529927,0.017313284527098804
6,Aboadze Junction Substation,Greater Accra,0.046511627906976744,0.0,0.1539095403772203,0.015563365589501017
8,Ejisu Substation,Ashanti,0.046511627906976744,0.0,0.16706420194792287,0.018472697370557557
9,Obuasi Substation,Ashanti,0.046511627906976744,0.0,0.16706420194792287,0.018472697370557557
26,Hohoe Substation,Volta,0.023255813953488372,0.0,0.15956336022781206,0.011902802186983483
25,Kpong Substation,Volta,0.046511627906976744,0.0,0.18977195755249493,0.01946186547601878
19,Assin Fosu Substation,Central,0.046511627906976744,0.0,0.20905360029847034,0.01691664868005698
17,Winneba Substation,Central,0.046511627906976744,0.0,0.20905360029847034,0.01691664868005698
15,Axim Substation,Western,0.046511627906976744,0.0,0.17297797900802636,0.017260130134221372
23,Suhum Substation,Eastern,0.046511627906976744,0.0,0.1699696663296259,0.01755409218555215
30,Berekum Substation,Bono,0.023255813953488372,0.0,0.14586948976049982,0.013692087641746625
36,Wa Substation,Upper West,0.023255813953488372,0.0,0.134803528468324,0.01352610290384411
35,Bawku Substation,Upper East,0.023255813953488372,0.0,0.134803528468324,0.01352610290384411
33,Savelugu Substation,Northern,0.0,0.0,0.0,0.0035460992907801426
32,Yendi Substation,Northern,0.023255813953488372,0.0,0.15152334595276726,0.012961072180004531
41,Cotonou Transmission Hub,Benin,0.023255813953488372,0.0,0.11918604651162791,0.01355638393566728
42,Abidjan Transmission Hub,Cote d'Ivoire,0.023255813953488372,0.0,0.1642564002345124,0.012363278845974258
43,Bobo-Dioulasso Hub,Burkina Faso,0.023255813953488372,0.0,0.11918604651162791,0.014549782379615184
44,Conakry Transmission Hub,Guinea,0.0,0.0,0.0,0.0035460992907801426
